FID,FireName,FireNo,Label,StartDate,EndDate,AreaHa,PerimeterM,Verdate,Type,Season,ID,Year,Year_Con,Shape__Area,Shape__Length
7389,Bell Alpha,28603,2009-10 Wildfire,2009/11/21 00:00:00+00,2009/11/26 00:00:00+00,0.9139691,373.45644831,26/03/2020,Wildfire,2009-10,7444,2009,2009/01/01 00:00:00+00,9122.5390625,373.105989850937
7390,Hurley Heights,28594,2009-10 Wildfire,2009/11/20 00:00:00+00,2009/11/26 00:00:00+00,3.30460879,790.95954786,26/03/2020,Wildfire,2009-10,7445,2009,2009/01/01 00:00:00+00,32984.875,790.226683371448
7391,Bowen Hill,28633,2009-10 Wildfire,2009/11/19 00:00:00+00,2009/12/01 00:00:00+00,43.32965083,2518.37559171,26/03/2020,Wildfire,2009-10,7446,2009,2009/01/01 00:00:00+00,432479.37109375,2515.99975486632
7392,D'Arcy Range,28555,2009-10 Wildfire,2009/11/19 00:00:00+00,2009/12/03 00:00:00+00,26.27345365,2135.85596538,26/03/2020,Wildfire,2009-10,7447,2009,2009/01/01 00:00:00+00,262239.53125,2133.84278668024
7393,Clews Ridge,28611,2009-10 Wildfire,2009/11/20 00:00:00+00,2009/12/04 00:00:00+00,18.49385593,2345.8637526,26/03/2020,Wildfire,2009-10,7448,2009,2009/01/01 00:00:00+00,184588.58984375,2343.64303048091
7394,Hoolem Boy Wollemi ComplexS44,28956,2009-10 Wildfire,2009/12/01 00:00:00+00,2009/12/05 00:00:00+00,1.25482449,521.15826157,26/03/2020,Wildfire,2009-10,7449,2009,2009/01/01 00:00:00+00,12525.62109375,520.688107593032
7395,Wedding Cake,30016,2009-10 Wildfire,2010/01/16 00:00:00+00,2010/01/25 00:00:00+00,7.57161799,1040.85569393,26/03/2020,Wildfire,2009-10,7450,2009,2009/01/01 00:00:00+00,75584.0234375,1039.94690895932
7396,Wilpinjong,30260,2009-10 Wildfire,2010/02/01 00:00:00+00,,2.08467068,636.17090638,26/03/2020,Wildfire,2009-10,7451,2009,2009/01/01 00:00:00+00,20813.19140625,635.659353504819
7397,Inglewood,27460,2009-10 Wildfire,2009/10/01 00:00:00+00,2009/10/03 00:00:00+00,36.58989296,3032.10496172,26/03/2020,Wildfire,2009-10,7452,2009,2009/01/01 00:00:00+00,365222.66796875,3029.30196674853
7398,Inglewood,27460,2009-10 Wildfire,2009/10/01 00:00:00+00,2009/10/03 00:00:00+00,64.6415659,7640.87705786,26/03/2020,Wildfire,2009-10,7453,2009,2009/01/01 00:00:00+00,645220.34375,7633.80898649856
